Features, Accuracy
[ 2  3  4  5  6  7  8  9 10 11 12],70.8
[ 1  3  4  5  6  7  8  9 10 11 12],71.0
[ 1  2  4  5  6  7  8  9 10 11 12],73.6
[ 1  2  3  5  6  7  8  9 10 11 12],73.2
[ 1  2  3  4  6  7  8  9 10 11 12],67.8
[ 1  2  3  4  5  7  8  9 10 11 12],71.2
[ 1  2  3  4  5  6  8  9 10 11 12],68.2
[ 1  2  3  4  5  6  7  9 10 11 12],72.4
[ 1  2  3  4  5  6  7  8 10 11 12],69.8
[ 1  2  3  4  5  6  7  8  9 11 12],69.8
[ 1  2  3  4  5  6  7  8  9 10 12],69.2
[ 1  2  3  4  5  6  7  8  9 10 11],72.6
[ 2  4  5  6  7  8  9 10 11 12],74.8
[ 1  4  5  6  7  8  9 10 11 12],76.0
[ 1  2  5  6  7  8  9 10 11 12],74.6
[ 1  2  4  6  7  8  9 10 11 12],67.2
[ 1  2  4  5  7  8  9 10 11 12],73.2
[ 1  2  4  5  6  8  9 10 11 12],72.0
[ 1  2  4  5  6  7  9 10 11 12],73.2
[ 1  2  4  5  6  7  8 10 11 12],72.8
[ 1  2  4  5  6  7  8  9 11 12],73.8
[ 1  2  4  5  6  7  8  9 10 12],71.6
[ 1  2  4  5  6  7  8  9 10 11],73.6
[ 4  5  6  7  8  9 10 11 12],78.0
[ 1  5  6  7  8  9 10 11 12],78.4
[ 1  4  6  7  8  9 10 11 12],69.6
[ 1  4  5  7  8  9 10 11 12],77.2
[ 1  4  5  6  8  9 10 11 12],73.2
[ 1  4  5  6  7  9 10 11 12],76.6
[ 1  4  5  6  7  8 10 11 12],77.0
[ 1  4  5  6  7  8  9 11 12],74.2
[ 1  4  5  6  7  8  9 10 12],75.8
[ 1  4  5  6  7  8  9 10 11],76.8
[ 5  6  7  8  9 10 11 12],78.8
[ 1  6  7  8  9 10 11 12],69.2
[ 1  5  7  8  9 10 11 12],78.8
[ 1  5  6  8  9 10 11 12],71.8
[ 1  5  6  7  9 10 11 12],78.2
[ 1  5  6  7  8 10 11 12],77.0
[ 1  5  6  7  8  9 11 12],77.6
[ 1  5  6  7  8  9 10 12],76.8
[ 1  5  6  7  8  9 10 11],79.2
[ 5  6  7  8  9 10 11],80.4
[ 1  6  7  8  9 10 11],69.6
[ 1  5  7  8  9 10 11],81.2
[ 1  5  6  8  9 10 11],73.4
[ 1  5  6  7  9 10 11],79.2
[ 1  5  6  7  8 10 11],78.6
[ 1  5  6  7  8  9 11],78.8
[ 1  5  6  7  8  9 10],81.2
[ 5  6  7  8  9 10],81.0
[ 1  6  7  8  9 10],69.2
[ 1  5  7  8  9 10],82.0
[ 1  5  6  8  9 10],75.2
[ 1  5  6  7  9 10],80.0
[ 1  5  6  7  8 10],81.4
[1 5 6 7 8 9],81.2
[ 5  7  8  9 10],84.2
[ 1  7  8  9 10],69.6
[ 1  5  8  9 10],74.8
[ 1  5  7  9 10],84.6
[ 1  5  7  8 10],81.8
[1 5 7 8 9],82.4
[ 5  7  9 10],88.2
[ 1  7  9 10],73.2
[ 1  5  9 10],76.0
[ 1  5  7 10],87.2
[1 5 7 9],88.6
[5 7 9],94.4
[1 7 9],70.0
[1 5 9],81.2
[1 5 7],91.0
[7 9],73.4
[5 9],87.6
[5 7],96.2
[7],70.0
[5],85.0
[],77.8
