Features, Accuracy
[ 2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],100.0
[ 1  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],100.0
[ 1  2  4  5  6  7  8  9 10 11 12 13 14 15 16 17],100.0
[ 1  2  3  5  6  7  8  9 10 11 12 13 14 15 16 17],100.0
[ 1  2  3  4  6  7  8  9 10 11 12 13 14 15 16 17],100.0
[ 1  2  3  4  5  7  8  9 10 11 12 13 14 15 16 17],98.9
[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16 17],100.0
[ 1  2  3  4  5  6  7  9 10 11 12 13 14 15 16 17],100.0
[ 1  2  3  4  5  6  7  8 10 11 12 13 14 15 16 17],100.0
[ 1  2  3  4  5  6  7  8  9 11 12 13 14 15 16 17],100.0
[ 1  2  3  4  5  6  7  8  9 10 12 13 14 15 16 17],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 13 14 15 16 17],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 14 15 16 17],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 15 16 17],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 16 17],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 17],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],100.0
[ 2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],100.0
[ 1  3  4  5  6  7  8  9 10 11 12 13 14 15 16],100.0
[ 1  2  4  5  6  7  8  9 10 11 12 13 14 15 16],100.0
[ 1  2  3  5  6  7  8  9 10 11 12 13 14 15 16],100.0
[ 1  2  3  4  6  7  8  9 10 11 12 13 14 15 16],100.0
[ 1  2  3  4  5  7  8  9 10 11 12 13 14 15 16],98.9
[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16],100.0
[ 1  2  3  4  5  6  7  9 10 11 12 13 14 15 16],100.0
[ 1  2  3  4  5  6  7  8 10 11 12 13 14 15 16],100.0
[ 1  2  3  4  5  6  7  8  9 11 12 13 14 15 16],100.0
[ 1  2  3  4  5  6  7  8  9 10 12 13 14 15 16],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 13 14 15 16],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 14 15 16],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 15 16],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 16],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],100.0
[ 2  3  4  5  6  7  8  9 10 11 12 13 14 15],100.0
[ 1  3  4  5  6  7  8  9 10 11 12 13 14 15],100.0
[ 1  2  4  5  6  7  8  9 10 11 12 13 14 15],100.0
[ 1  2  3  5  6  7  8  9 10 11 12 13 14 15],100.0
[ 1  2  3  4  6  7  8  9 10 11 12 13 14 15],100.0
[ 1  2  3  4  5  7  8  9 10 11 12 13 14 15],98.9
[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15],100.0
[ 1  2  3  4  5  6  7  9 10 11 12 13 14 15],100.0
[ 1  2  3  4  5  6  7  8 10 11 12 13 14 15],100.0
[ 1  2  3  4  5  6  7  8  9 11 12 13 14 15],100.0
[ 1  2  3  4  5  6  7  8  9 10 12 13 14 15],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 13 14 15],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 14 15],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 15],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],100.0
[ 2  3  4  5  6  7  8  9 10 11 12 13 14],100.0
[ 1  3  4  5  6  7  8  9 10 11 12 13 14],100.0
[ 1  2  4  5  6  7  8  9 10 11 12 13 14],100.0
[ 1  2  3  5  6  7  8  9 10 11 12 13 14],100.0
[ 1  2  3  4  6  7  8  9 10 11 12 13 14],100.0
[ 1  2  3  4  5  7  8  9 10 11 12 13 14],97.7
[ 1  2  3  4  5  6  8  9 10 11 12 13 14],100.0
[ 1  2  3  4  5  6  7  9 10 11 12 13 14],100.0
[ 1  2  3  4  5  6  7  8 10 11 12 13 14],100.0
[ 1  2  3  4  5  6  7  8  9 11 12 13 14],100.0
[ 1  2  3  4  5  6  7  8  9 10 12 13 14],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 13 14],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 14],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12 13],100.0
[ 2  3  4  5  6  7  8  9 10 11 12 13],100.0
[ 1  3  4  5  6  7  8  9 10 11 12 13],100.0
[ 1  2  4  5  6  7  8  9 10 11 12 13],100.0
[ 1  2  3  5  6  7  8  9 10 11 12 13],100.0
[ 1  2  3  4  6  7  8  9 10 11 12 13],100.0
[ 1  2  3  4  5  7  8  9 10 11 12 13],98.9
[ 1  2  3  4  5  6  8  9 10 11 12 13],100.0
[ 1  2  3  4  5  6  7  9 10 11 12 13],100.0
[ 1  2  3  4  5  6  7  8 10 11 12 13],100.0
[ 1  2  3  4  5  6  7  8  9 11 12 13],100.0
[ 1  2  3  4  5  6  7  8  9 10 12 13],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 13],100.0
[ 1  2  3  4  5  6  7  8  9 10 11 12],100.0
[ 2  3  4  5  6  7  8  9 10 11 12],100.0
[ 1  3  4  5  6  7  8  9 10 11 12],100.0
[ 1  2  4  5  6  7  8  9 10 11 12],100.0
[ 1  2  3  5  6  7  8  9 10 11 12],100.0
[ 1  2  3  4  6  7  8  9 10 11 12],100.0
[ 1  2  3  4  5  7  8  9 10 11 12],100.0
[ 1  2  3  4  5  6  8  9 10 11 12],100.0
[ 1  2  3  4  5  6  7  9 10 11 12],100.0
[ 1  2  3  4  5  6  7  8 10 11 12],100.0
[ 1  2  3  4  5  6  7  8  9 11 12],100.0
[ 1  2  3  4  5  6  7  8  9 10 12],100.0
[ 1  2  3  4  5  6  7  8  9 10 11],100.0
[ 2  3  4  5  6  7  8  9 10 11],100.0
[ 1  3  4  5  6  7  8  9 10 11],100.0
[ 1  2  4  5  6  7  8  9 10 11],100.0
[ 1  2  3  5  6  7  8  9 10 11],100.0
[ 1  2  3  4  6  7  8  9 10 11],100.0
[ 1  2  3  4  5  7  8  9 10 11],100.0
[ 1  2  3  4  5  6  8  9 10 11],100.0
