Features, Accuracy
[ 2  3  4  5  6  7  8  9 10],8.1
[ 1  3  4  5  6  7  8  9 10],75.6
[ 1  2  4  5  6  7  8  9 10],3.4
[ 1  2  3  5  6  7  8  9 10],4.4
[ 1  2  3  4  6  7  8  9 10],5.6
[ 1  2  3  4  5  7  8  9 10],8.1
[ 1  2  3  4  5  6  8  9 10],8.8
[ 1  2  3  4  5  6  7  9 10],6.2
[ 1  2  3  4  5  6  7  8 10],3.1
[1 2 3 4 5 6 7 8 9],6.6
[ 3  4  5  6  7  8  9 10],72.2
[ 1  4  5  6  7  8  9 10],65.9
[ 1  3  5  6  7  8  9 10],72.2
[ 1  3  4  6  7  8  9 10],73.1
[ 1  3  4  5  7  8  9 10],74.4
[ 1  3  4  5  6  8  9 10],75.0
[ 1  3  4  5  6  7  9 10],67.8
[ 1  3  4  5  6  7  8 10],57.2
[1 3 4 5 6 7 8 9],58.1
[ 3  4  5  6  8  9 10],70.9
[ 1  4  5  6  8  9 10],64.1
[ 1  3  5  6  8  9 10],71.9
[ 1  3  4  6  8  9 10],72.2
[ 1  3  4  5  8  9 10],73.1
[ 1  3  4  5  6  9 10],66.6
[ 1  3  4  5  6  8 10],56.6
[1 3 4 5 6 8 9],56.9
[ 3  4  5  8  9 10],68.8
[ 1  4  5  8  9 10],62.5
[ 1  3  5  8  9 10],71.9
[ 1  3  4  8  9 10],69.1
[ 1  3  4  5  9 10],65.9
[ 1  3  4  5  8 10],57.5
[1 3 4 5 8 9],56.9
[ 3  5  8  9 10],66.2
[ 1  5  8  9 10],57.8
[ 1  3  8  9 10],66.2
[ 1  3  5  9 10],61.6
[ 1  3  5  8 10],50.9
[1 3 5 8 9],51.9
[ 3  8  9 10],60.0
[ 1  8  9 10],57.8
[ 1  3  9 10],54.4
[ 1  3  8 10],41.6
[1 3 8 9],47.2
[ 8  9 10],50.0
[ 3  9 10],45.6
[ 3  8 10],33.4
[3 8 9],41.2
[ 9 10],29.7
[ 8 10],22.2
[8 9],22.5
[10],5.6
[9],10.0
[],2.5
