Features, Accuracy
[1],59.6
[2],66.8
[3],68.6
[4],61.2
[5],85.0
[6],64.0
[7],70.0
[8],67.0
[9],64.2
[10],65.4
[11],69.0
[12],66.2
[1 5],83.0
[2 5],81.4
[3 5],83.2
[4 5],83.6
[5 6],82.8
[5 7],96.2
[5 8],85.4
[5 9],87.6
[ 5 10],86.0
[ 5 11],82.8
[ 5 12],87.6
[1 5 7],91.0
[2 5 7],90.6
[3 5 7],92.6
[4 5 7],93.6
[5 6 7],92.6
[5 7 8],93.2
[5 7 9],94.4
[ 5  7 10],91.8
[ 5  7 11],93.6
[ 5  7 12],92.8
[1 5 7 9],88.6
[2 5 7 9],93.8
[3 5 7 9],88.4
[4 5 7 9],91.0
[5 6 7 9],90.4
[5 7 8 9],91.6
[ 5  7  9 10],88.2
[ 5  7  9 11],89.2
[ 5  7  9 12],88.8
[1 2 5 7 9],85.0
[2 3 5 7 9],84.2
[2 4 5 7 9],88.4
[2 5 6 7 9],86.2
[2 5 7 8 9],87.8
[ 2  5  7  9 10],87.0
[ 2  5  7  9 11],89.2
[ 2  5  7  9 12],86.8
[ 1  2  5  7  9 11],82.2
[ 2  3  5  7  9 11],78.8
[ 2  4  5  7  9 11],84.6
[ 2  5  6  7  9 11],78.6
[ 2  5  7  8  9 11],85.2
[ 2  5  7  9 10 11],83.8
[ 2  5  7  9 11 12],84.8
[ 1  2  5  7  8  9 11],79.4
[ 2  3  5  7  8  9 11],76.2
[ 2  4  5  7  8  9 11],77.4
[ 2  5  6  7  8  9 11],77.0
[ 2  5  7  8  9 10 11],80.0
[ 2  5  7  8  9 11 12],78.2
[ 1  2  5  7  8  9 10 11],80.0
[ 2  3  5  7  8  9 10 11],75.2
[ 2  4  5  7  8  9 10 11],75.4
[ 2  5  6  7  8  9 10 11],76.2
[ 2  5  7  8  9 10 11 12],77.8
[ 1  2  3  5  7  8  9 10 11],76.2
[ 1  2  4  5  7  8  9 10 11],76.0
[ 1  2  5  6  7  8  9 10 11],77.2
[ 1  2  5  7  8  9 10 11 12],77.0
[ 1  2  3  5  6  7  8  9 10 11],72.6
[ 1  2  4  5  6  7  8  9 10 11],73.6
[ 1  2  5  6  7  8  9 10 11 12],74.6
[ 1  2  3  5  6  7  8  9 10 11 12],73.2
[ 1  2  4  5  6  7  8  9 10 11 12],73.6
[ 1  2  3  4  5  6  7  8  9 10 11 12],70.6
