Features, Accuracy
[1],54.5
[2],65.9
[3],100.0
[4],60.2
[5],46.6
[6],100.0
[7],45.5
[8],63.6
[9],92.0
[10],47.7
[11],58.0
[12],47.7
[13],69.3
[14],97.7
[15],54.5
[16],53.4
[17],97.7
[1 3],100.0
[2 3],100.0
[3 4],100.0
[3 5],100.0
[3 6],100.0
[3 7],100.0
[3 8],100.0
[3 9],100.0
[ 3 10],100.0
[ 3 11],100.0
[ 3 12],100.0
[ 3 13],100.0
[ 3 14],100.0
[ 3 15],100.0
[ 3 16],100.0
[ 3 17],100.0
[1 2 3],100.0
[1 3 4],100.0
[1 3 5],100.0
[1 3 6],100.0
[1 3 7],100.0
[1 3 8],100.0
[1 3 9],100.0
[ 1  3 10],100.0
[ 1  3 11],100.0
[ 1  3 12],100.0
[ 1  3 13],100.0
[ 1  3 14],100.0
[ 1  3 15],100.0
[ 1  3 16],100.0
[ 1  3 17],100.0
[1 2 3 4],100.0
[1 2 3 5],100.0
[1 2 3 6],100.0
[1 2 3 7],100.0
[1 2 3 8],100.0
[1 2 3 9],100.0
[ 1  2  3 10],100.0
[ 1  2  3 11],100.0
[ 1  2  3 12],100.0
[ 1  2  3 13],100.0
[ 1  2  3 14],100.0
[ 1  2  3 15],100.0
[ 1  2  3 16],100.0
[ 1  2  3 17],100.0
[1 2 3 4 5],100.0
[1 2 3 4 6],100.0
[1 2 3 4 7],100.0
[1 2 3 4 8],100.0
[1 2 3 4 9],100.0
[ 1  2  3  4 10],100.0
[ 1  2  3  4 11],100.0
[ 1  2  3  4 12],100.0
[ 1  2  3  4 13],100.0
[ 1  2  3  4 14],100.0
[ 1  2  3  4 15],100.0
[ 1  2  3  4 16],100.0
[ 1  2  3  4 17],100.0
[1 2 3 4 5 6],100.0
[1 2 3 4 5 7],100.0
[1 2 3 4 5 8],100.0
[1 2 3 4 5 9],100.0
[ 1  2  3  4  5 10],100.0
[ 1  2  3  4  5 11],100.0
[ 1  2  3  4  5 12],100.0
[ 1  2  3  4  5 13],100.0
[ 1  2  3  4  5 14],100.0
[ 1  2  3  4  5 15],100.0
[ 1  2  3  4  5 16],100.0
[ 1  2  3  4  5 17],100.0
[1 2 3 4 5 6 7],100.0
[1 2 3 4 5 6 8],100.0
[1 2 3 4 5 6 9],100.0
[ 1  2  3  4  5  6 10],100.0
[ 1  2  3  4  5  6 11],100.0
[ 1  2  3  4  5  6 12],100.0
[ 1  2  3  4  5  6 13],100.0
[ 1  2  3  4  5  6 14],100.0
[ 1  2  3  4  5  6 15],100.0
[ 1  2  3  4  5  6 16],100.0
[ 1  2  3  4  5  6 17],100.0
[1 2 3 4 5 6 7 8],100.0
[1 2 3 4 5 6 7 9],100.0
[ 1  2  3  4  5  6  7 10],100.0
[ 1  2  3  4  5  6  7 11],100.0
[ 1  2  3  4  5  6  7 12],100.0
[ 1  2  3  4  5  6  7 13],100.0
[ 1  2  3  4  5  6  7 14],100.0
[ 1  2  3  4  5  6  7 15],100.0
[ 1  2  3  4  5  6  7 16],100.0
[ 1  2  3  4  5  6  7 17],100.0
[1 2 3 4 5 6 7 8 9],100.0
[ 1  2  3  4  5  6  7  8 10],100.0
[ 1  2  3  4  5  6  7  8 11],100.0
[ 1  2  3  4  5  6  7  8 12],100.0
[ 1  2  3  4  5  6  7  8 13],100.0
[ 1  2  3  4  5  6  7  8 14],100.0
[ 1  2  3  4  5  6  7  8 15],100.0
[ 1  2  3  4  5  6  7  8 16],100.0
[ 1  2  3  4  5  6  7  8 17],100.0
[ 1  2  3  4  5  6  7  8  9 10],100.0
[ 1  2  3  4  5  6  7  8  9 11],100.0
[ 1  2  3  4  5  6  7  8  9 12],100.0
[ 1  2  3  4  5  6  7  8  9 13],100.0
[ 1  2  3  4  5  6  7  8  9 14],100.0
[ 1  2  3  4  5  6  7  8  9 15],100.0
