Features, Accuracy
[1],2.5
[2],1.2
[3],6.6
[4],2.5
[5],5.0
[6],3.4
[7],4.7
[8],4.1
[9],10.0
[10],5.6
[1 9],13.8
[2 9],4.1
[3 9],22.8
[4 9],14.1
[5 9],15.0
[6 9],16.6
[7 9],18.4
[8 9],22.5
[ 9 10],29.7
[ 1  9 10],37.8
[ 2  9 10],1.6
[ 3  9 10],45.6
[ 4  9 10],33.4
[ 5  9 10],35.9
[ 6  9 10],37.8
[ 7  9 10],34.4
[ 8  9 10],50.0
[ 1  8  9 10],57.8
[ 2  8  9 10],0.6
[ 3  8  9 10],60.0
[ 4  8  9 10],50.6
[ 5  8  9 10],49.1
[ 6  8  9 10],52.5
[ 7  8  9 10],49.7
[ 1  3  8  9 10],66.2
[ 2  3  8  9 10],2.8
[ 3  4  8  9 10],66.9
[ 3  5  8  9 10],66.2
[ 3  6  8  9 10],63.4
[ 3  7  8  9 10],60.6
[ 1  3  4  8  9 10],69.1
[ 2  3  4  8  9 10],4.4
[ 3  4  5  8  9 10],68.8
[ 3  4  6  8  9 10],67.5
[ 3  4  7  8  9 10],67.2
[ 1  2  3  4  8  9 10],4.7
[ 1  3  4  5  8  9 10],73.1
[ 1  3  4  6  8  9 10],72.2
[ 1  3  4  7  8  9 10],70.3
[ 1  2  3  4  5  8  9 10],7.5
[ 1  3  4  5  6  8  9 10],75.0
[ 1  3  4  5  7  8  9 10],74.4
[ 1  2  3  4  5  6  8  9 10],8.8
[ 1  3  4  5  6  7  8  9 10],75.6
[ 1  2  3  4  5  6  7  8  9 10],9.4
