Cultivar,Season,Repetition,PH,IFP,NLP,NGP,NGL,NS,MHG,GY
NEO 760 CE,1,1,58.8,15.2,98.2,177.8,1.81,5.2,152.2,3232.82
NEO 760 CE,1,2,58.6,13.4,102,195,1.85,7.2,141.69,3517.36
NEO 760 CE,1,3,63.4,17.2,100.4,203,2.02,6.8,148.81,3391.46
NEO 760 CE,1,4,60.27,15.27,100.2,191.93,1.89,6.4,148.5,3312.58
MANU IPRO,1,1,81.2,18,98.8,173,1.75,7.4,145.59,3230.99
MANU IPRO,1,2,75.8,20.8,69.2,128,1.85,7.2,154.87,3374.8
MANU IPRO,1,3,84.4,15.8,95.4,161.8,1.7,6.8,150.23,3182.76
MANU IPRO,1,4,80.47,18.2,87.8,154.27,1.77,7.13,149.9,3165.72
77HO111I2X - GUAPORÉ,1,1,52.2,14.4,64.8,148.8,2.3,7.2,180.25,3640.46
77HO111I2X - GUAPORÉ,1,2,55.8,15.8,72,188.8,2.62,6.2,176.75,3602.34
77HO111I2X - GUAPORÉ,1,3,54,19.4,78.2,182.4,2.33,7.8,173.16,3488.79
77HO111I2X - GUAPORÉ,1,4,54,16.53,71.67,173.33,2.42,7.07,176.73,3698.28
NK 7777 IPRO,1,1,54,15.4,82.2,219.2,2.67,8.2,188.27,4122.76
NK 7777 IPRO,1,2,59.2,17,63.2,176,2.78,9,184.01,3956.41
NK 7777 IPRO,1,3,68.4,17.8,80,272.4,2.24,7,181.78,3843.4
NK 7777 IPRO,1,4,60.53,16.73,75.13,222.53,2.56,8.07,184.69,3953.31
GNS7900 IPRO - AMPLA,1,1,55.2,19.8,49,80.6,1.64,3.6,161.01,3433.34
GNS7900 IPRO - AMPLA,1,2,64.2,18.8,54.4,123.6,2.27,4,162.93,3398.45
GNS7900 IPRO - AMPLA,1,3,57.2,18.2,50.2,82.2,1.64,4.4,161.34,3599.66
GNS7900 IPRO - AMPLA,1,4,58.87,18.93,51.2,95.47,1.85,4,163.11,3357.01
LTT 7901 IPRO,1,1,60.6,15.8,61.4,136.2,2.22,6,164.13,3430.72
LTT 7901 IPRO,1,2,66.4,18.2,89,191.6,2.15,7.4,163.56,3510.76
LTT 7901 IPRO,1,3,66.6,17.6,72.4,155.2,2.14,5.6,165.88,3221.51
LTT 7901 IPRO,1,4,64.53,17.2,74.27,161,2.17,6.33,165.68,3343.24
BRASMAX BÔNUS IPRO,1,1,71.2,19.4,73,232,2.05,6.4,177.23,3506.11
BRASMAX BÔNUS IPRO,1,2,64,17,58.4,141.4,2.42,6.6,178.3,3508.55
BRASMAX BÔNUS IPRO,1,3,68.4,13.4,62,250.6,2.21,5,183.42,3810.94
BRASMAX BÔNUS IPRO,1,4,67.87,16.6,64.47,208,2.23,6,183.52,3584.39
97Y97 IPRO,1,1,53.8,14,49,130.4,2.66,5.2,167.34,2947.93
97Y97 IPRO,1,2,51,19.2,64.6,172,2.66,5.4,168.24,3142.6
97Y97 IPRO,1,3,55.2,18.4,63.8,174.2,2.73,5,166.08,2801.83
97Y97 IPRO,1,4,53.33,17.2,59.13,158.87,2.68,5.2,172.62,2661.66
BRASMAX OLIMPO IPRO,1,1,86.6,23,44,160,2,4.8,187.87,4368.41
BRASMAX OLIMPO IPRO,1,2,91,24,71.8,138.4,1.93,5.6,187.38,4425.03
BRASMAX OLIMPO IPRO,1,3,84.6,26.4,87.6,226,2.58,6.2,177.1,4270.16
